ZCTA5,concat_county_name,concat_state_name
03450,Cheshire County,New Hampshire
03451,Cheshire County,New Hampshire
03452,Cheshire County,New Hampshire
03455,Cheshire County,New Hampshire
03456,Cheshire County,New Hampshire
03457,Cheshire County,New Hampshire
03458,Cheshire County|Hillsborough County,New Hampshire
03461,Cheshire County,New Hampshire
03462,Cheshire County,New Hampshire
03464,Cheshire County,New Hampshire
03465,Cheshire County,New Hampshire
03466,Cheshire County,New Hampshire
03467,Cheshire County,New Hampshire
03470,Cheshire County,New Hampshire
03561,Grafton County,New Hampshire
03570,Coos County,New Hampshire
03574,Grafton County,New Hampshire
03575,Coos County,New Hampshire
03576,Coos County,New Hampshire
03579,Coos County|Oxford County,Maine|New Hampshire
03580,Grafton County,New Hampshire
03581,Coos County,New Hampshire
03582,Coos County,New Hampshire
03583,Coos County,New Hampshire
03584,Coos County,New Hampshire
03585,Grafton County,New Hampshire
03586,Grafton County,New Hampshire
03588,Coos County,New Hampshire
03590,Coos County,New Hampshire
03592,Coos County,New Hampshire
03593,Coos County,New Hampshire
03595,Coos County,New Hampshire
03597,Coos County,New Hampshire
03598,Coos County,New Hampshire
03601,Sullivan County,New Hampshire
03602,Cheshire County|Sullivan County,New Hampshire
03603,Sullivan County,New Hampshire
03604,Cheshire County,New Hampshire
03605,Sullivan County,New Hampshire
03607,Sullivan County,New Hampshire
03608,Cheshire County,New Hampshire
03609,Cheshire County,New Hampshire
03740,Grafton County,New Hampshire
03741,Grafton County,New Hampshire
03743,Sullivan County,New Hampshire
03745,Sullivan County,New Hampshire
03746,Sullivan County,New Hampshire
03748,Grafton County|Sullivan County,New Hampshire
03750,Grafton County,New Hampshire
03751,Sullivan County,New Hampshire
03752,Sullivan County,New Hampshire
03753,Sullivan County,New Hampshire
03754,Sullivan County,New Hampshire
03755,Grafton County,New Hampshire
03765,Grafton County,New Hampshire
03766,Grafton County,New Hampshire
03768,Grafton County,New Hampshire
03770,Sullivan County,New Hampshire
03771,Grafton County,New Hampshire
03773,Sullivan County,New Hampshire
03774,Grafton County,New Hampshire
03777,Grafton County,New Hampshire
03779,Grafton County,New Hampshire
03780,Grafton County,New Hampshire
03781,Sullivan County,New Hampshire
03782,Sullivan County,New Hampshire
03784,Grafton County,New Hampshire
03785,Grafton County,New Hampshire
03801,Rockingham County,New Hampshire
03809,Belknap County,New Hampshire
03810,Belknap County,New Hampshire
03811,Rockingham County,New Hampshire
03812,Carroll County,New Hampshire
03813,Carroll County,New Hampshire
03814,Carroll County,New Hampshire
03816,Carroll County,New Hampshire
03817,Carroll County,New Hampshire
03818,Carroll County,New Hampshire
03819,Rockingham County,New Hampshire
03820,Strafford County,New Hampshire
03823,Strafford County,New Hampshire
03824,Strafford County,New Hampshire
03825,Strafford County,New Hampshire
03826,Rockingham County,New Hampshire
03827,Rockingham County,New Hampshire
03830,Carroll County,New Hampshire
03832,Carroll County,New Hampshire
03833,Rockingham County,New Hampshire
03835,Strafford County,New Hampshire
03836,Carroll County,New Hampshire
03837,Belknap County,New Hampshire
03838,Carroll County,New Hampshire
03839,Strafford County,New Hampshire
03840,Rockingham County,New Hampshire
03841,Rockingham County,New Hampshire
03842,Rockingham County,New Hampshire
03844,Rockingham County,New Hampshire
03845,Carroll County,New Hampshire
